text,label
"Cost cutting measures , which have produced around EUR70m of savings over the past nine months , have dampened the airline 's loss , Finnair said ",positive
"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier ",negative
"In total , more than 3000 surveillance cameras will be handled and managed according to a variety of needs , the company said ",neutral
"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia ",neutral
"The Russian gas giant invested another 46 million litas in the company in late 2004 and now owns 99.5 percent of its stock capital , which amounts to 86.936 million litas ",neutral
Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million ,positive
The number of bodily injury cases quadrupled in 2000-2006 ,negative
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative ,negative
Net sales in 2007 are expected to be 10 % up on 2006 ,positive
Finnish Bank of +�land reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 ,negative
The total value of these two contracts is over EUR 21 million ,neutral
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 ",negative
Microsoft last week also issued the first patch for the Windows 7 operating system beta it had released days earlier ,neutral
"Speaking to just-drinks today , a spokesperson for Olvi said : `` We have performed very well in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . '",positive
From Merisatama to the far corners of the world Asfaltti Osakeyhti+� Lemmink+�inen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor ,neutral
"According to Swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of Per+�meri , the Northernmost part of the Gulf of Bothnia ",negative
The ground barleycorn has been fully produced in Finland and will be available in stores as of the beginning of 2010 ,neutral
Investments are not disclosed ,neutral
"Revenue from July to September grew 21 percent to EURO 2.3 billion , the Finnish company said Thursday ",positive
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 ",positive
The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 ,positive
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 ,negative
Satama earned Data Management Solutions competency with Business Intelligence specialization recentlyvia the acquisition of Fimentor Oy ,positive
"Konecranes has previously communicated an estimated reduction of about 1,600 employees on group level in 2009 ",negative
"Under Finnish law , Parliament grants licences to build nuclear power plants ",neutral
"Karachi , Sept. 14 -- Ixonos , a world leader in the development and integration of solutions for handheld devices , announced that it is implementing a touch screen mobile user interface solution for the Intel Atom processor Z6xx based smartphones ",neutral
BM4 middle layer headbox will be equipped with a dilution control system ,neutral
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 ",negative
Under the terms of this agreement Lextel Group has committed to an opening order of EUR3 .75 m for Benefon mobile units to be co-branded with Capitel for the China market ,neutral
